GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.online.judge.backend.service,CustomUserDetailsService,0,21,0,0,0,6,0,3,0,3
backend,com.online.judge.backend.service,UserService,0,84,0,4,0,21,0,6,0,4
backend,com.online.judge.backend.service,ProblemService,0,161,0,2,0,35,0,11,0,10
backend,com.online.judge.backend.model,User,0,22,0,0,0,7,0,7,0,7
backend,com.online.judge.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
backend,com.online.judge.backend.util,JwtUtil,1,94,2,2,0,23,2,10,0,10
backend,com.online.judge.backend.util,UserUtil,10,22,3,3,2,6,3,2,0,2
backend,com.online.judge.backend.converter,ProblemConverter,0,86,0,0,0,24,0,5,0,5
backend,com.online.judge.backend.converter,TagConverter,0,12,0,0,0,4,0,1,0,1
backend,com.online.judge.backend.converter,TestCaseConverter,0,41,0,0,0,9,0,3,0,3
backend,com.online.judge.backend.converter,UserConverter,1,30,1,1,0,7,1,1,0,1
backend,com.online.judge.backend.dto.response,CreateProblemResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,GetProblemByIdResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,AuthResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.response,ListProblemsResponse,0,6,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.exception,UserNotAuthorizedException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.exception,ProblemNotFoundException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
backend,com.online.judge.backend.model.shared,ProblemTag,0,39,0,0,0,7,0,1,0,1
backend,com.online.judge.backend.model.shared,ProblemDifficulty,0,21,0,0,0,4,0,1,0,1
backend,com.online.judge.backend.model.shared,UserRole,0,15,0,0,0,3,0,1,0,1
backend,com.online.judge.backend.model.shared,SubmissionStatus,0,45,0,0,0,8,0,1,0,1
backend,com.online.judge.backend.model.shared,SubmissionLanguage,0,27,0,0,0,5,0,1,0,1
backend,com.online.judge.backend.dto.ui,TestCaseUi,0,12,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,ProblemSummaryUi,0,15,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.ui,ProblemDetailsUi,0,27,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.controller,ProblemController,0,59,0,0,0,13,0,5,0,5
backend,com.online.judge.backend.controller,AuthController,0,123,0,2,0,31,0,6,0,5
backend,com.online.judge.backend.dto.request,CreateTestCaseRequest,0,15,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,CreateProblemRequest,0,24,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,RegisterRequest,0,21,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.dto.request,LoginRequest,0,9,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.config,JwtAuthFilter,0,74,4,6,0,19,4,3,0,2
backend,com.online.judge.backend.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
backend,com.online.judge.backend.config,SecurityConfig,0,109,0,0,0,21,0,10,0,10
